Date,Close,TWD,TAIEX,SOX,TAIBOR,DIJA
2009-11-27,60,32.31,7490.91,309.82,0.17,10309.92
2009-11-30,61.1,32.22,7582.21,310.05,0.17,10344.84
2009-12-01,60.7,32.12,7649.23,319.54,0.17,10471.58
2009-12-02,60.8,32.13,7677.62,324.69,0.17,10452.68
2009-12-03,61.5,32.1,7684.67,328.44,0.17,10366.15
2009-12-04,61.5,32.18,7650.91,335.21,0.17,10388.9
2009-12-07,62.5,32.3,7775.64,336.72,0.17,10390.11
2009-12-08,62.4,32.22,7768.71,336.96,0.17,10285.97
2009-12-09,62.4,32.25,7797.42,339.09,0.17,10337.05
2009-12-10,61.3,32.29,7677.91,338.61,0.17,10405.83
2009-12-11,62.6,32.17,7795.07,335.24,0.17,10471.5
2009-12-14,62.7,32.29,7819.13,340.28,0.17,10501.05
2009-12-15,62.7,32.31,7807.62,338.97,0.17,10452
2009-12-16,61.8,32.31,7751.6,344.86,0.17,10441.12
2009-12-17,62.2,32.37,7742.17,339.82,0.17,10308.26
2009-12-18,61.9,32.38,7753.63,344.83,0.17,10328.89
2009-12-21,62.2,32.34,7787.27,352.65,0.17,10414.14
2009-12-22,62.9,32.35,7856,354.72,0.17,10464.93
2009-12-23,63.4,32.33,7901.5,355.37,0.17,10466.44
2009-12-24,63.6,32.29,7963.54,361.06,0.17,10520.1
2009-12-25,63.4,32.24,7972.59,357.64,0.17,10547.08
2009-12-28,63.7,32.28,8057.49,357.64,0.17,10547.08
2009-12-29,63.3,32.32,8053.83,356.18,0.17,10545.41
2009-12-30,63.9,32.22,8112.28,361.39,0.17,10548.51
2009-12-31,64.5,31.97,8188.11,359.91,0.17,10428.05
2010-01-04,64.9,31.7,8207.85,366.08,0.16,10583.96
2010-01-05,64.5,31.92,8211.4,366.42,0.16,10572.02
2010-01-06,64.9,31.81,8327.62,366.34,0.16,10573.68
2010-01-07,64.2,31.91,8237.42,362.3,0.16,10606.86
2010-01-08,64,31.82,8280.9,367.68,0.16,10618.19
2010-01-11,64.5,31.75,8323.82,366.62,0.16,10663.99
2010-01-12,63.6,31.8,8309.37,353.45,0.16,10627.26
2010-01-13,62.8,31.75,8196.56,359.09,0.16,10680.77
2010-01-14,63.2,31.77,8289.98,356.96,0.16,10710.55
2010-01-15,63.5,31.79,8356.89,344.67,0.16,10609.65
2010-01-18,62.9,31.76,8337.82,350.84,0.16,10725.43
2010-01-19,62.5,31.83,8249,350.84,0.16,10725.43
2010-01-20,63,31.92,8220.93,349.8,0.16,10603.15
2010-01-21,62.6,31.92,8127.87,347.91,0.16,10389.88
2010-01-22,61.1,31.98,7927.31,329.49,0.16,10172.98
2010-01-25,60.4,31.93,7872.99,334.18,0.16,10196.86
2010-01-26,60.1,32.02,7598.81,333.52,0.16,10194.29
2010-01-27,59.6,32.04,7560.03,337.45,0.16,10236.16
2010-01-28,60,31.97,7694.58,327.25,0.16,10120.46
2010-01-29,61.5,31.95,7640.44,316.07,0.16,10067.33
2010-02-01,59.8,32.02,7524.67,325.72,0.16,10185.53
2010-02-02,59,32.05,7429.61,328.7,0.16,10296.85
2010-02-03,59.8,32.01,7547.98,327.75,0.16,10270.55
2010-02-04,59.1,32.09,7542.04,312.53,0.16,10002.18
2010-02-05,57.2,32.1,7217.83,320.01,0.16,10012.23
2010-02-06,58,32.09,7212.87,318.86,0.16,9908.39
2010-02-08,57.4,32.09,7215.88,318.86,0.16,9908.39
2010-02-09,58.6,32.04,7361.04,323.41,0.16,10058.64
2010-02-10,58.4,32.09,7441.84,323.4,0.16,10038.38
2010-02-22,59,32.04,7560.04,342.55,0.16,10383.38
2010-02-23,59.8,32.06,7597.44,332.87,0.16,10282.41
2010-02-24,58.5,32.07,7529.67,339.27,0.16,10374.16
2010-02-25,58.2,32.07,7426.96,338.39,0.16,10321.03
2010-02-26,58.8,32.12,7436.1,338.86,0.16,10325.26
2010-03-01,59.6,32.05,7577.75,349.48,0.16,10403.79
